from_id,year,to_id,Wk,Month,Date,TrueYear,Day,WinPts,WinTeamHome,LosePts,Time,TV,Month2,GameDate,Rk,Conf,Overall W,Overall L,Overall Pct,Conference W,Conference L,Conference Pct,PPG,OPPG,SRS SRS,SRS SOS,Polls AP Pre,Polls AP High,Polls AP Post,Polls AP Curr
Air Force,2000,Fresno State,17,Dec,31,2000,Sun,37,TRUE,34,NA,NA,12,2000-12-31,79,MWC,9,3,0.75,5,2,0.714,35.1,26,2.84,-4.33,NA,NA,NA,NA
Air Force,2000,Utah,5,Sep,23,2000,Sat,23,FALSE,14,NA,NA,9,2000-09-23,79,MWC,9,3,0.75,5,2,0.714,35.1,26,2.84,-4.33,NA,NA,NA,NA
Air Force,2000,Brigham Young,3,Sep,9,2000,Sat,31,TRUE,23,NA,NA,9,2000-09-09,79,MWC,9,3,0.75,5,2,0.714,35.1,26,2.84,-4.33,NA,NA,NA,NA
Air Force,2000,Army,11,Nov,4,2000,Sat,41,FALSE,27,NA,NA,11,2000-11-04,79,MWC,9,3,0.75,5,2,0.714,35.1,26,2.84,-4.33,NA,NA,NA,NA
Air Force,2000,Wyoming,8,Oct,14,2000,Sat,51,FALSE,34,NA,NA,10,2000-10-14,79,MWC,9,3,0.75,5,2,0.714,35.1,26,2.84,-4.33,NA,NA,NA,NA
Air Force,2000,Navy,7,Oct,7,2000,Sat,27,TRUE,13,NA,NA,10,2000-10-07,79,MWC,9,3,0.75,5,2,0.714,35.1,26,2.84,-4.33,NA,NA,NA,NA
Air Force,2000,San Diego State,13,Nov,18,2000,Sat,45,TRUE,24,NA,NA,11,2000-11-18,79,MWC,9,3,0.75,5,2,0.714,35.1,26,2.84,-4.33,NA,NA,NA,NA
Air Force,2000,Colorado State,12,Nov,11,2000,Sat,44,TRUE,40,NA,NA,11,2000-11-11,79,MWC,9,3,0.75,5,2,0.714,35.1,26,2.84,-4.33,NA,NA,NA,NA
Akron,2000,Bowling Green State,7,Oct,7,2000,Sat,27,FALSE,21,NA,NA,10,2000-10-07,67,MAC (East),6,5,0.545,5,3,0.625,30.3,26.8,-5.38,-7.65,NA,NA,NA,NA
Akron,2000,Buffalo,12,Nov,11,2000,Sat,49,TRUE,14,NA,NA,11,2000-11-11,67,MAC (East),6,5,0.545,5,3,0.625,30.3,26.8,-5.38,-7.65,NA,NA,NA,NA
Akron,2000,Kent State,13,Nov,18,2000,Sat,34,FALSE,6,NA,NA,11,2000-11-18,67,MAC (East),6,5,0.545,5,3,0.625,30.3,26.8,-5.38,-7.65,NA,NA,NA,NA
Akron,2000,Ohio,5,Sep,23,2000,Sat,23,FALSE,20,NA,NA,9,2000-09-23,67,MAC (East),6,5,0.545,5,3,0.625,30.3,26.8,-5.38,-7.65,NA,NA,NA,NA
Akron,2000,Miami (OH),6,Sep,30,2000,Sat,37,TRUE,20,NA,NA,9,2000-09-30,67,MAC (East),6,5,0.545,5,3,0.625,30.3,26.8,-5.38,-7.65,NA,NA,NA,NA
Alabama,2000,Vanderbilt,3,Sep,9,2000,Sat,28,TRUE,10,NA,NA,9,2000-09-09,107,SEC (West),3,8,0.273,3,5,0.375,20.7,22.4,1.04,4.86,3,3,NA,NA
Alabama,2000,South Carolina,6,Sep,30,2000,Sat,27,TRUE,17,NA,NA,9,2000-09-30,107,SEC (West),3,8,0.273,3,5,0.375,20.7,22.4,1.04,4.86,3,3,NA,NA
Arizona,2000,Stanford,6,Sep,30,2000,Sat,27,FALSE,3,NA,NA,9,2000-09-30,92,Pac-10,5,6,0.455,3,5,0.375,23.1,21.5,7.8,7.16,NA,21,NA,NA
Arizona,2000,Utah,2,Sep,2,2000,Sat,17,FALSE,3,NA,NA,9,2000-09-02,92,Pac-10,5,6,0.455,3,5,0.375,23.1,21.5,7.8,7.16,NA,21,NA,NA
Arizona,2000,Washington State,8,Oct,14,2000,Sat,53,TRUE,47,NA,NA,10,2000-10-14,92,Pac-10,5,6,0.455,3,5,0.375,23.1,21.5,7.8,7.16,NA,21,NA,NA
Arizona,2000,San Diego State,4,Sep,16,2000,Sat,17,TRUE,3,NA,NA,9,2000-09-16,92,Pac-10,5,6,0.455,3,5,0.375,23.1,21.5,7.8,7.16,NA,21,NA,NA
Arizona State,2000,Colorado State,4,Sep,16,2000,Sat,13,TRUE,10,NA,NA,9,2000-09-16,90,Pac-10,6,6,0.5,3,5,0.375,26.1,25.3,5.92,4.75,NA,NA,NA,NA
Arizona State,2000,San Diego State,2,Aug,31,2000,Thu,10,FALSE,7,NA,NA,8,2000-08-31,90,Pac-10,6,6,0.5,3,5,0.375,26.1,25.3,5.92,4.75,NA,NA,NA,NA
Arizona State,2000,Washington State,9,Oct,21,2000,Sat,23,FALSE,20,NA,NA,10,2000-10-21,90,Pac-10,6,6,0.5,3,5,0.375,26.1,25.3,5.92,4.75,NA,NA,NA,NA
Arizona State,2000,California,7,Oct,7,2000,Sat,30,TRUE,10,NA,NA,10,2000-10-07,90,Pac-10,6,6,0.5,3,5,0.375,26.1,25.3,5.92,4.75,NA,NA,NA,NA
Arizona State,2000,Arizona,14,Nov,24,2000,Fri,30,FALSE,17,NA,NA,11,2000-11-24,90,Pac-10,6,6,0.5,3,5,0.375,26.1,25.3,5.92,4.75,NA,NA,NA,NA
Arizona State,2000,Utah State,5,Sep,23,2000,Sat,44,TRUE,20,NA,NA,9,2000-09-23,90,Pac-10,6,6,0.5,3,5,0.375,26.1,25.3,5.92,4.75,NA,NA,NA,NA
Arkansas,2000,Alabama,5,Sep,23,2000,Sat,28,TRUE,21,NA,NA,9,2000-09-23,106,SEC (West),6,6,0.5,3,5,0.375,23.2,24.1,-0.38,1.79,NA,NA,NA,NA
Arkansas,2000,Mississippi State,13,Nov,18,2000,Sat,17,FALSE,10,NA,NA,11,2000-11-18,106,SEC (West),6,6,0.5,3,5,0.375,23.2,24.1,-0.38,1.79,NA,NA,NA,NA
Arkansas,2000,Louisiana-Monroe,7,Oct,7,2000,Sat,52,TRUE,6,NA,NA,10,2000-10-07,106,SEC (West),6,6,0.5,3,5,0.375,23.2,24.1,-0.38,1.79,NA,NA,NA,NA
Arkansas,2000,Boise State,4,Sep,16,2000,Sat,38,TRUE,31,NA,NA,9,2000-09-16,106,SEC (West),6,6,0.5,3,5,0.375,23.2,24.1,-0.38,1.79,NA,NA,NA,NA
Arkansas State,2000,North Texas,12,Nov,11,2000,Sat,53,TRUE,28,NA,NA,11,2000-11-11,46,Big West,1,10,0.091,1,4,0.2,22.5,37.3,-13.4,-1.58,NA,NA,NA,NA
Army,2000,Tulane,9,Oct,21,2000,Sat,21,TRUE,17,NA,NA,10,2000-10-21,55,CUSA,1,10,0.091,1,6,0.143,20.4,33.8,-15.26,-2.26,NA,NA,NA,NA
Auburn,2000,Arkansas,10,Oct,28,2000,Sat,21,TRUE,19,NA,NA,10,2000-10-28,102,SEC (West),9,4,0.692,6,2,0.75,24.3,20.5,7.64,3.56,NA,15,18,NA
Auburn,2000,Northern Illinois,5,Sep,23,2000,Sat,31,TRUE,14,NA,NA,9,2000-09-23,102,SEC (West),9,4,0.692,6,2,0.75,24.3,20.5,7.64,3.56,NA,15,18,NA
Auburn,2000,Vanderbilt,6,Sep,30,2000,Sat,33,TRUE,0,NA,NA,9,2000-09-30,102,SEC (West),9,4,0.692,6,2,0.75,24.3,20.5,7.64,3.56,NA,15,18,NA
Auburn,2000,Georgia,12,Nov,11,2000,Sat,29,TRUE,26,NA,NA,11,2000-11-11,102,SEC (West),9,4,0.692,6,2,0.75,24.3,20.5,7.64,3.56,NA,15,18,NA
Auburn,2000,Louisiana Tech,9,Oct,21,2000,Sat,38,TRUE,28,NA,NA,10,2000-10-21,102,SEC (West),9,4,0.692,6,2,0.75,24.3,20.5,7.64,3.56,NA,15,18,NA
Auburn,2000,Alabama,13,Nov,18,2000,Sat,9,FALSE,0,NA,NA,11,2000-11-18,102,SEC (West),9,4,0.692,6,2,0.75,24.3,20.5,7.64,3.56,NA,15,18,NA
Auburn,2000,Wyoming,2,Aug,31,2000,Thu,35,TRUE,21,NA,NA,8,2000-08-31,102,SEC (West),9,4,0.692,6,2,0.75,24.3,20.5,7.64,3.56,NA,15,18,NA
Ball State,2000,Eastern Michigan,8,Oct,14,2000,Sat,33,TRUE,14,NA,NA,10,2000-10-14,75,MAC (West),5,6,0.455,4,3,0.571,19.3,31.7,-9.96,-4.41,NA,NA,NA,NA
Ball State,2000,Central Michigan,10,Oct,28,2000,Sat,38,FALSE,34,NA,NA,10,2000-10-28,75,MAC (West),5,6,0.455,4,3,0.571,19.3,31.7,-9.96,-4.41,NA,NA,NA,NA
Ball State,2000,Buffalo,9,Oct,21,2000,Sat,44,FALSE,35,NA,NA,10,2000-10-21,75,MAC (West),5,6,0.455,4,3,0.571,19.3,31.7,-9.96,-4.41,NA,NA,NA,NA
Ball State,2000,Miami (OH),7,Oct,7,2000,Sat,15,FALSE,10,NA,NA,10,2000-10-07,75,MAC (West),5,6,0.455,4,3,0.571,19.3,31.7,-9.96,-4.41,NA,NA,NA,NA
Ball State,2000,Connecticut,13,Nov,18,2000,Sat,29,TRUE,0,NA,NA,11,2000-11-18,75,MAC (West),5,6,0.455,4,3,0.571,19.3,31.7,-9.96,-4.41,NA,NA,NA,NA
Baylor,2000,North Texas,2,Aug,31,2000,Thu,20,FALSE,7,NA,NA,8,2000-08-31,21,Big 12 (South),2,9,0.182,0,8,0,12.6,36.1,-11.48,4.71,NA,NA,NA,NA
Baylor,2000,South Florida,5,Sep,23,2000,Sat,28,TRUE,13,NA,NA,9,2000-09-23,21,Big 12 (South),2,9,0.182,0,8,0,12.6,36.1,-11.48,4.71,NA,NA,NA,NA
Boise State,2000,New Mexico,2,Sep,2,2000,Sat,31,FALSE,14,NA,NA,9,2000-09-02,41,Big West,10,2,0.833,5,0,1,44.3,22.8,6.78,-8.8,NA,NA,NA,NA
Boise State,2000,New Mexico State,10,Oct,28,2000,Sat,34,FALSE,31,NA,NA,10,2000-10-28,41,Big West,10,2,0.833,5,0,1,44.3,22.8,6.78,-8.8,NA,NA,NA,NA
Boise State,2000,Arkansas State,11,Nov,4,2000,Sat,42,FALSE,14,NA,NA,11,2000-11-04,41,Big West,10,2,0.833,5,0,1,44.3,22.8,6.78,-8.8,NA,NA,NA,NA
Boise State,2000,Utah State,12,Nov,11,2000,Sat,66,TRUE,38,NA,NA,11,2000-11-11,41,Big West,10,2,0.833,5,0,1,44.3,22.8,6.78,-8.8,NA,NA,NA,NA
Boise State,2000,Idaho,13,Nov,18,2000,Sat,66,TRUE,24,NA,NA,11,2000-11-18,41,Big West,10,2,0.833,5,0,1,44.3,22.8,6.78,-8.8,NA,NA,NA,NA
Boise State,2000,Central Michigan,5,Sep,23,2000,Sat,47,FALSE,10,NA,NA,9,2000-09-23,41,Big West,10,2,0.833,5,0,1,44.3,22.8,6.78,-8.8,NA,NA,NA,NA
Boise State,2000,North Texas,9,Oct,21,2000,Sat,59,TRUE,0,NA,NA,10,2000-10-21,41,Big West,10,2,0.833,5,0,1,44.3,22.8,6.78,-8.8,NA,NA,NA,NA
