year,Rk,School,Conf,Overall W,Overall L,Overall Pct,Conference W,Conference L,Conference Pct,PPG,OPPG,SRS SRS,SRS SOS,Polls AP Pre,Polls AP High,Polls AP Post,Notes,Polls AP Curr
2000,1,Florida State,ACC,11,2,.846,8,0,1.000,39.3,10.5,23.13,5.59,2,1,5,,NA
2000,2,Clemson,ACC,9,3,.750,6,2,.750,34.7,21.1,11.54,2.04,17,5,16,,NA
2000,3,Georgia Tech,ACC,9,3,.750,6,2,.750,32.2,19.8,11.30,1.21,,15,17,,NA
2000,4,Virginia,ACC,6,6,.500,5,3,.625,20.2,24.3,0.10,3.18,,,,,NA
2000,5,North Carolina State,ACC,8,4,.667,4,4,.500,31.6,28.2,3.92,-0.33,,21,,,NA
2000,6,North Carolina,ACC,6,5,.545,3,5,.375,24.5,25.8,2.40,1.85,,,,,NA
2000,7,Maryland,ACC,5,6,.455,3,5,.375,22.5,25.8,0.54,2.26,,,,,NA
2000,8,Wake Forest,ACC,2,9,.182,1,7,.125,16.5,32.9,-12.27,0.09,,,,,NA
2000,9,Duke,ACC,0,11,.000,0,8,.000,14.1,39.1,-13.91,4.63,,,,,NA
2000,10,Nebraska,Big 12 (North),10,2,.833,6,2,.750,43.5,19.2,19.01,4.51,1,1,8,,NA
2000,11,Kansas State,Big 12 (North),11,3,.786,6,2,.750,39.2,18.6,15.72,3.93,8,2,9,,NA
2000,12,Iowa State,Big 12 (North),9,3,.750,5,3,.625,28.6,26.8,6.43,2.84,,25,25,,NA
2000,13,Colorado,Big 12 (North),3,8,.273,3,5,.375,22.9,25.8,3.56,7.92,24,23,,,NA
2000,14,Kansas,Big 12 (North),4,7,.364,2,6,.250,23.7,32.6,-1.95,4.60,,,,,NA
2000,15,Missouri,Big 12 (North),3,8,.273,2,6,.250,23.2,31.6,-2.63,3.55,,,,,NA
2000,16,Oklahoma,Big 12 (South),13,0,1.000,8,0,1.000,37.0,14.9,21.56,5.32,19,1,1,,NA
2000,17,Texas,Big 12 (South),9,3,.750,7,1,.875,37.9,19.3,13.78,0.78,7,5,12,,NA
2000,18,Texas A&M,Big 12 (South),7,5,.583,5,3,.625,29.0,19.9,11.44,5.03,,21,,,NA
2000,19,Texas Tech,Big 12 (South),7,6,.538,3,5,.375,25.4,21.4,4.81,1.65,,,,,NA
2000,20,Oklahoma State,Big 12 (South),3,8,.273,1,7,.125,18.4,27.5,-3.18,2.63,,,,,NA
2000,21,Baylor,Big 12 (South),2,9,.182,0,8,.000,12.6,36.1,-11.48,4.71,,,,,NA
2000,22,Miami (FL),Big East,11,1,.917,7,0,1.000,42.2,15.8,23.22,5.22,5,2,2,,NA
2000,23,Virginia Tech,Big East,11,1,.917,6,1,.857,40.3,22.4,19.42,4.00,11,2,6,,NA
2000,24,Pitt,Big East,7,5,.583,4,3,.571,24.7,20.6,5.68,1.93,,,,,NA
2000,25,Syracuse,Big East,6,5,.545,4,3,.571,26.7,19.3,6.94,3.12,,,,,NA
2000,26,Boston College,Big East,7,5,.583,3,4,.429,31.5,23.1,6.30,1.72,,,,,NA
2000,27,West Virginia,Big East,7,5,.583,3,4,.429,29.7,30.3,6.29,5.54,,,,,NA
2000,28,Temple,Big East,4,7,.364,1,6,.143,20.4,24.5,-3.09,1.36,,,,,NA
2000,29,Rutgers,Big East,3,8,.273,0,7,.000,21.2,36.3,-8.67,2.15,,,,,NA
2000,30,Michigan,Big Ten,9,3,.750,6,2,.750,33.7,19.1,12.93,2.93,6,3,11,,NA
2000,31,Northwestern,Big Ten,8,4,.667,6,2,.750,36.8,33.3,8.85,4.26,,12,,,NA
2000,32,Purdue,Big Ten,8,4,.667,6,2,.750,31.8,22.2,9.26,2.93,14,9,13,,NA
2000,33,Ohio State,Big Ten,8,4,.667,5,3,.625,27.6,18.5,10.97,4.13,16,6,,,NA
